ts,datetime,open,high,low,close,volume
1776848400,2026-04-22T09:00:00+00:00,78020.24,78204.89,77968.89,78015.56,203.39088161
1776852000,2026-04-22T10:00:00+00:00,78015.57,78201.25,77964.02,78175.7,192.62961579
1776855600,2026-04-22T11:00:00+00:00,78175.71,78422.84,78119.18,78327.98,349.20124207
1776859200,2026-04-22T12:00:00+00:00,78327.98,78542.56,78137.19,78262.91,586.49290614
1776862800,2026-04-22T13:00:00+00:00,78262.9,78887.8,78183.05,78887.44,868.56868369
1776866400,2026-04-22T14:00:00+00:00,78887.45,79217.08,78601.87,79073.57,1395.8526772
1776870000,2026-04-22T15:00:00+00:00,79073.56,79455.95,78865.0,79323.61,913.59546415
1776873600,2026-04-22T16:00:00+00:00,79323.62,79523.0,78660.62,78782.46,590.89133288
1776877200,2026-04-22T17:00:00+00:00,78782.46,79078.37,78724.13,78947.97,412.12884012
1776880800,2026-04-22T18:00:00+00:00,78947.98,79218.81,78854.6,79062.46,342.76053682
1776884400,2026-04-22T19:00:00+00:00,79062.46,79111.73,78734.15,78878.3,1154.32492186
1776888000,2026-04-22T20:00:00+00:00,78878.31,78953.15,78427.63,78463.99,397.6163413
1776891600,2026-04-22T21:00:00+00:00,78464.05,78858.25,78445.8,78794.76,304.96665296
1776895200,2026-04-22T22:00:00+00:00,78794.76,78865.09,78487.27,78635.61,255.56443881
1776898800,2026-04-22T23:00:00+00:00,78635.61,78642.0,78182.0,78208.52,189.458122
1776902400,2026-04-23T00:00:00+00:00,78208.52,78608.94,77610.0,78467.52,411.98452201
1776906000,2026-04-23T01:00:00+00:00,78467.69,78500.0,78093.3,78387.39,218.34548169
1776909600,2026-04-23T02:00:00+00:00,78387.4,78387.4,77783.74,77967.46,288.03669951
1776913200,2026-04-23T03:00:00+00:00,77967.46,78070.5,77500.0,77766.9,313.35973135
1776916800,2026-04-23T04:00:00+00:00,77766.9,77974.18,77698.7,77935.46,196.92327625
1776920400,2026-04-23T05:00:00+00:00,77935.46,78149.07,77788.81,78051.59,186.22542761
1776924000,2026-04-23T06:00:00+00:00,78055.02,78370.49,78055.02,78240.0,232.4070167
1776927600,2026-04-23T07:00:00+00:00,78240.01,78281.78,77989.72,78086.14,188.83334326
1776931200,2026-04-23T08:00:00+00:00,78086.15,78204.31,77727.29,77877.34,224.51396122
1776934800,2026-04-23T09:00:00+00:00,77877.34,77887.47,77463.04,77670.55,308.03399338
1776938400,2026-04-23T10:00:00+00:00,77672.01,77737.92,77200.0,77425.92,251.20927769
1776942000,2026-04-23T11:00:00+00:00,77425.92,77776.48,77372.12,77722.29,148.02848263
1776945600,2026-04-23T12:00:00+00:00,77722.29,77907.56,77562.25,77894.01,347.51772307
1776949200,2026-04-23T13:00:00+00:00,77897.23,77946.39,77404.02,77549.31,479.20497411
1776952800,2026-04-23T14:00:00+00:00,77549.32,78250.0,77431.4,78210.59,1051.51619843
1776956400,2026-04-23T15:00:00+00:00,78210.59,78722.96,78007.2,78410.43,903.15988416
1776960000,2026-04-23T16:00:00+00:00,78410.44,78550.0,78063.58,78133.06,483.26997738
1776963600,2026-04-23T17:00:00+00:00,78133.06,78222.46,76979.99,77796.41,998.64314236
1776967200,2026-04-23T18:00:00+00:00,77796.41,78181.43,77695.47,77698.4,635.48695143
1776970800,2026-04-23T19:00:00+00:00,77698.4,77927.45,77600.0,77743.16,691.04509369
1776974400,2026-04-23T20:00:00+00:00,77742.5,78073.5,77656.44,77903.01,283.93397456
1776978000,2026-04-23T21:00:00+00:00,77903.01,78092.46,77811.0,77890.0,118.98489693
1776981600,2026-04-23T22:00:00+00:00,77887.5,78369.99,77884.4,78257.14,239.45731112
1776985200,2026-04-23T23:00:00+00:00,78257.15,78327.6,78051.8,78281.32,166.63369403
1776988800,2026-04-24T00:00:00+00:00,78281.32,78516.33,78191.31,78446.01,210.74614857
1776992400,2026-04-24T01:00:00+00:00,78446.02,78487.02,77979.18,78457.91,250.96331705
1776996000,2026-04-24T02:00:00+00:00,78457.9,78607.38,78097.52,78154.1,205.24998195
1776999600,2026-04-24T03:00:00+00:00,78154.1,78217.79,77590.51,77755.39,252.39007698
1777003200,2026-04-24T04:00:00+00:00,77755.39,77888.5,77492.99,77682.91,226.27000461
1777006800,2026-04-24T05:00:00+00:00,77682.9,78071.27,77465.3,77974.29,205.07879932
1777010400,2026-04-24T06:00:00+00:00,77974.3,77999.1,77786.29,77813.12,96.92941092
1777014000,2026-04-24T07:00:00+00:00,77813.11,77882.44,77568.32,77676.96,98.56816624
1777017600,2026-04-24T08:00:00+00:00,77676.95,78030.98,77593.2,77808.73,175.68946751
1777021200,2026-04-24T09:00:00+00:00,77808.72,77827.83,77423.86,77551.89,194.70987401
1777024800,2026-04-24T10:00:00+00:00,77551.88,77811.18,77457.21,77762.45,176.88319828
1777028400,2026-04-24T11:00:00+00:00,77762.45,78400.0,77762.44,78256.13,525.98017865
1777032000,2026-04-24T12:00:00+00:00,78256.15,78379.31,78035.99,78290.74,321.36075618
1777035600,2026-04-24T13:00:00+00:00,78290.74,78500.0,77922.96,78107.84,631.77425171
1777039200,2026-04-24T14:00:00+00:00,78107.84,78107.84,77700.01,78070.15,1640.91244946
1777042800,2026-04-24T15:00:00+00:00,78072.0,78257.09,77596.52,78066.88,462.47790826
1777046400,2026-04-24T16:00:00+00:00,78065.03,78090.24,77606.46,77800.0,324.67359349
1777050000,2026-04-24T17:00:00+00:00,77798.32,77856.95,77502.59,77707.15,377.24949328
1777053600,2026-04-24T18:00:00+00:00,77707.16,77745.83,77381.74,77637.61,303.69529933
1777057200,2026-04-24T19:00:00+00:00,77637.61,77773.45,77555.6,77659.72,321.8029166
1777060800,2026-04-24T20:00:00+00:00,77657.01,77787.4,77478.31,77748.69,206.77057277
1777064400,2026-04-24T21:00:00+00:00,77748.68,77785.0,77565.44,77565.45,166.99577979
1777068000,2026-04-24T22:00:00+00:00,77565.45,77650.87,77289.0,77360.78,270.90511444
1777071600,2026-04-24T23:00:00+00:00,77360.78,77493.21,77358.82,77461.8,118.69536089
1777075200,2026-04-25T00:00:00+00:00,77461.79,77526.0,77329.29,77483.44,102.13882478
1777078800,2026-04-25T01:00:00+00:00,77486.72,77645.47,77456.79,77559.96,77.84341739
1777082400,2026-04-25T02:00:00+00:00,77559.97,77669.53,77518.78,77639.19,85.04430526
1777086000,2026-04-25T03:00:00+00:00,77639.19,77739.8,77574.67,77699.91,70.23443277
1777089600,2026-04-25T04:00:00+00:00,77699.92,77726.16,77621.9,77641.16,61.18188358
1777093200,2026-04-25T05:00:00+00:00,77641.16,77641.16,77507.99,77542.19,46.25971601
1777096800,2026-04-25T06:00:00+00:00,77542.19,77609.28,77506.7,77526.42,121.66064379
1777100400,2026-04-25T07:00:00+00:00,77526.41,77603.62,77470.0,77521.97,147.32526871
1777104000,2026-04-25T08:00:00+00:00,77520.0,77686.8,77510.94,77672.65,123.69105994
1777107600,2026-04-25T09:00:00+00:00,77672.65,77806.07,77612.0,77738.19,133.39851427
1777111200,2026-04-25T10:00:00+00:00,77738.19,77911.09,77738.19,77809.48,104.58710494
1777114800,2026-04-25T11:00:00+00:00,77809.48,77809.48,77636.17,77709.94,69.58593733
1777118400,2026-04-25T12:00:00+00:00,77711.31,77736.95,77565.44,77575.35,68.35604197
1777122000,2026-04-25T13:00:00+00:00,77577.02,77731.7,77577.02,77701.35,66.2750009
1777125600,2026-04-25T14:00:00+00:00,77701.36,77774.27,77652.09,77679.96,67.27406045
1777129200,2026-04-25T15:00:00+00:00,77679.95,77749.7,77332.98,77354.06,289.25403051
1777132800,2026-04-25T16:00:00+00:00,77354.05,77500.0,77179.2,77427.69,464.62848335
1777136400,2026-04-25T17:00:00+00:00,77427.68,77439.98,77234.99,77274.53,115.84405572
1777140000,2026-04-25T18:00:00+00:00,77274.52,77414.56,77242.17,77319.65,113.3020298
1777143600,2026-04-25T19:00:00+00:00,77319.65,77376.98,77210.0,77339.77,118.34693072
1777147200,2026-04-25T20:00:00+00:00,77339.77,77508.87,77324.57,77497.07,123.57224345
1777150800,2026-04-25T21:00:00+00:00,77497.08,77557.64,77434.24,77555.49,94.26634203
1777154400,2026-04-25T22:00:00+00:00,77555.5,77662.26,77519.52,77577.96,107.68611511
1777158000,2026-04-25T23:00:00+00:00,77577.96,77680.3,77545.77,77650.72,99.91814823
1777161600,2026-04-26T00:00:00+00:00,77650.72,77666.29,77468.4,77520.34,94.15005219
1777165200,2026-04-26T01:00:00+00:00,77520.33,77594.0,77470.32,77479.27,75.49687314
1777168800,2026-04-26T02:00:00+00:00,77479.26,77620.55,77471.84,77545.7,62.33264788
1777172400,2026-04-26T03:00:00+00:00,77545.7,77566.0,77346.44,77408.01,67.74139304
1777176000,2026-04-26T04:00:00+00:00,77408.01,77838.01,77394.88,77790.06,141.46210364
1777179600,2026-04-26T05:00:00+00:00,77790.05,78221.43,77736.0,78004.97,332.63900885
1777183200,2026-04-26T06:00:00+00:00,78004.97,78074.58,77917.89,78019.26,70.35356196
1777186800,2026-04-26T07:00:00+00:00,78024.64,78148.82,77985.28,78126.31,72.08978411
1777190400,2026-04-26T08:00:00+00:00,78126.32,78237.34,78045.23,78050.01,173.67841807
1777194000,2026-04-26T09:00:00+00:00,78050.01,78081.29,77940.69,78026.91,71.98970141
1777197600,2026-04-26T10:00:00+00:00,78026.91,78077.06,77975.44,78024.64,62.24884258
1777201200,2026-04-26T11:00:00+00:00,78024.63,78177.02,78024.63,78118.01,53.38464798
1777204800,2026-04-26T12:00:00+00:00,78118.01,78135.23,77782.36,77850.81,101.50847324
