ts,datetime,open,high,low,close,volume
1776348000,2026-04-16T14:00:00+00:00,0.034,0.035,0.033,0.034,1260477.89
1776351600,2026-04-16T15:00:00+00:00,0.034,0.036,0.034,0.035,1185871.52
1776355200,2026-04-16T16:00:00+00:00,0.035,0.037,0.035,0.035,1404015.77
1776358800,2026-04-16T17:00:00+00:00,0.035,0.037,0.035,0.035,840430.65
1776362400,2026-04-16T18:00:00+00:00,0.036,0.037,0.035,0.036,122645.83
1776366000,2026-04-16T19:00:00+00:00,0.037,0.038,0.036,0.037,2454919.26
1776369600,2026-04-16T20:00:00+00:00,0.037,0.038,0.036,0.036,202681.9
1776373200,2026-04-16T21:00:00+00:00,0.036,0.037,0.036,0.036,113217.14
1776376800,2026-04-16T22:00:00+00:00,0.036,0.037,0.036,0.036,48294.69
1776380400,2026-04-16T23:00:00+00:00,0.036,0.037,0.036,0.036,161433.38
1776384000,2026-04-17T00:00:00+00:00,0.036,0.037,0.036,0.036,130111.41
1776387600,2026-04-17T01:00:00+00:00,0.036,0.037,0.036,0.036,47383.26
1776391200,2026-04-17T02:00:00+00:00,0.036,0.037,0.035,0.036,1134560.12
1776394800,2026-04-17T03:00:00+00:00,0.036,0.037,0.036,0.036,212935.34
1776398400,2026-04-17T04:00:00+00:00,0.036,0.036,0.036,0.036,50790.0
1776402000,2026-04-17T05:00:00+00:00,0.036,0.036,0.035,0.035,102369.19
1776405600,2026-04-17T06:00:00+00:00,0.035,0.036,0.035,0.036,1124692.1
1776409200,2026-04-17T07:00:00+00:00,0.036,0.038,0.036,0.037,659117.23
1776412800,2026-04-17T08:00:00+00:00,0.037,0.038,0.036,0.036,1712077.39
1776416400,2026-04-17T09:00:00+00:00,0.036,0.037,0.036,0.036,48114.61
1776420000,2026-04-17T10:00:00+00:00,0.036,0.036,0.035,0.035,129116.69
1776423600,2026-04-17T11:00:00+00:00,0.035,0.037,0.035,0.036,1254479.25
1776427200,2026-04-17T12:00:00+00:00,0.036,0.037,0.036,0.036,49372.23
1776430800,2026-04-17T13:00:00+00:00,0.036,0.038,0.036,0.037,163066.12
1776434400,2026-04-17T14:00:00+00:00,0.037,0.038,0.037,0.037,414336.95
1776438000,2026-04-17T15:00:00+00:00,0.037,0.038,0.037,0.037,1368213.11
